id,type,domain,enabled,date_added,date_modified,comment
1,0,config2.mparticle.com,1,1589217571,1589217571,""
2,0,firebaselogging-pa.googleapis.com,1,1589217688,1589217688,""
3,0,ibx.key.com,1,1589330461,1589330461,""
4,0,keybank.demdex.net,1,1589330465,1589330465,""
5,0,fonts.gstatic.com,1,1589397143,1589397143,""
6,0,cdn.shopify.com,1,1589936108,1589936108,""
7,0,1drv.ms,1,1590358540,1590358540,""
8,0,www.pornhub.com,1,1590377382,1590377382,""
9,0,aax-us-east.amazon-adsystem.com,1,1590459834,1590459834,""
10,0,graph.instagram.com,1,1590498219,1590498219,""
11,0,static.doubleclick.net,1,1590872518,1590872518,""
12,0,googleads.g.doubleclick.net,1,1590872542,1590872542,""
14,0,reports.crashlytics.com,1,1590872673,1590872673,""
15,0,securemetrics.apple.com,1,1591182012,1591182012,""
16,0,appleid.apple.com,1,1591182038,1591182038,""
17,0,adservice.google.com,1,1591834300,1591834300,""
18,0,www.googleadservices.com,1,1591834303,1591834303,""
22,0,www.youjizz.com,1,1591891130,1591891130,""
23,0,xhamster.com,1,1591891137,1591891137,""
24,0,ads.mopub.com,1,1591891169,1591891169,""
25,0,z.moatads.com,1,1591891836,1591891836,""
26,0,config.inmobi.com,1,1591891845,1591891845,""
27,0,i.imgur.com,1,1592533636,1592533636,""
28,0,analytics.plex.tv,1,1592610821,1592610821,""
29,0,spankwire.com,1,1593273252,1593273252,""
30,0,www.tube8.com,1,1593273264,1593273264,""
31,0,www.xnxx.com,1,1593273282,1593273282,""
32,0,www.xvideos.com,1,1593273292,1593273292,""
33,0,www.youporn.com,1,1593273307,1593273307,""
34,0,self.events.data.microsoft.com,1,1594429645,1594429645,""
35,0,cdn.segment.com,1,1594429801,1594429801,""
36,0,js-agent.newrelic.com,1,1594429809,1594429809,""
37,0,sdk.split.io,1,1594429812,1594429812,""
38,0,email.chandlersautomotivesanford.us,1,1596726295,1596726295,"Added from Query Log"
39,0,cheapmedcardsme.com,1,1601069491,1601069491,"Added from Query Log"
40,0,www.redtube.com,1,1601394406,1601394406,"Added from Query Log"
41,0,s.youtube.com,1,1602625884,1602625884,"Added from Query Log"
42,0,app-measurement.com,1,1602625906,1602625906,"Added from Query Log"
43,0,secure.indeed.com,1,1604442787,1604442787,"Added from Query Log"
44,0,tinyurl.com,1,1607648776,1607648776,"Added from Query Log"
45,2,(\.|^)cam4\.com$,1,1607735979,1607735979,Cam4
